student_id,first_name,last_name,gender,birth_date,email_address,admitted,enrolled,parent_alum,parent_highest_ed,first_gen_hed_student,high_school_gpa,was_hs_athlete_ind,home_state_name,admit_type,private_hs_indicator,multiple_majors_indicator,secondary_class_percentile,department_id,admit_semester_id,first_year_gpa,cumulative_gpa,enroll_status,planned_grad_semester_id
100011,Jane,Doe_154,F,,Jane.Doe_154@example.com,1,0,0,6,0,3.57,1,Iowa,Regular,0,0,89,28,29,0,0,admitted,0
100016,Mateo,Jackson_184,M,,Mateo.Jackson_184@example.com,1,1,1,8,0,4.2,1,Washington,Early Action,0,0,100,25,29,0,0,enrolled,36
100031,Marcia,Oliveira_187,F,,Marcia.Oliveira_187@example.com,0,0,0,1,1,3.24,0,Ohio,Regular,0,1,80,26,29,0,0,declined,0
100033,Diego,Ramirez_027,M,,Diego.Ramirez_027@example.com,1,1,0,8,0,2.69,1,Connecticut,Regular,0,0,67,26,29,0,0,enrolled,36
100043,Diego,Ramirez_418,M,,Diego.Ramirez_418@example.com,1,1,0,7,0,3.41,1,Delaware,Regular,0,0,85,25,29,0,0,enrolled,36
100048,Shirley,Rodriguez_242,F,,Shirley.Rodriguez_242@example.com,1,1,1,0,1,3.35,0,Nebraska,Regular,0,0,83,27,29,0,0,enrolled,36
100062,Maria,Garcia_080,F,,Maria.Garcia_080@example.com,1,1,0,6,0,2.92,1,Colorado,Regular,0,0,73,25,29,0,0,enrolled,36
100063,Jane,Doe_346,F,,Jane.Doe_346@example.com,1,1,1,0,1,2.5,1,Florida,Regular,0,0,62,27,29,0,0,enrolled,36
100085,John,Stiles_126,M,,John.Stiles_126@example.com,0,0,0,8,0,3.56,0,Iowa,Regular,0,1,89,28,29,0,0,declined,0
100089,Richard,Roe_107,M,,Richard.Roe_107@example.com,0,0,0,3,1,2.49,0,Oklahoma,Regular,0,1,62,29,29,0,0,declined,0
100093,Marcia,Oliveira_386,F,,Marcia.Oliveira_386@example.com,1,1,1,7,0,4.37,1,New York,Early Action,0,0,100,28,29,0,0,enrolled,36
100096,Marcia,Oliveira_437,F,,Marcia.Oliveira_437@example.com,1,1,0,4,0,3.79,1,of Columbia,Regular,0,0,94,27,29,0,0,enrolled,36
100101,John,Doe_025,M,,John.Doe_025@example.com,1,1,0,6,0,3.14,1,Rhode Island,Regular,0,0,78,29,29,0,0,enrolled,36
100105,Jane,Doe_179,F,,Jane.Doe_179@example.com,1,1,0,2,1,3.21,1,Kentucky,Regular,0,0,80,26,29,0,0,enrolled,36
100117,Martha,Rivera_268,F,,Martha.Rivera_268@example.com,1,1,0,4,0,2.67,1,Illinois,Regular,0,0,66,28,29,0,0,enrolled,36
100118,Jane,Doe_178,F,,Jane.Doe_178@example.com,1,1,0,4,0,3.52,1,District ,Regular,0,0,88,29,29,0,0,enrolled,36
100126,John,Stiles_036,M,,John.Stiles_036@example.com,0,0,0,0,1,3.29,0,North Dakota,Regular,0,1,82,28,29,0,0,declined,0
100135,Maria,Garcia_376,F,,Maria.Garcia_376@example.com,0,0,0,1,1,2.94,0,Florida,Regular,1,1,73,26,29,0,0,declined,0
100141,Alejandro,Rosalez_260,M,,Alejandro.Rosalez_260@example.com,0,0,0,0,1,2.72,0,Florida,Regular,0,1,68,25,29,0,0,declined,0
100151,Martha,Rivera_395,F,,Martha.Rivera_395@example.com,1,1,0,6,0,3.65,1,Pennsylvania,Regular,0,0,91,26,29,0,0,enrolled,36
100166,Paulo,Santos_293,M,,Paulo.Santos_293@example.com,1,1,0,6,0,2.62,1,North Dakota,Regular,0,0,65,27,29,0,0,enrolled,36
100167,Nikki,Wolf_207,F,,Nikki.Wolf_207@example.com,1,1,0,8,0,2.76,1,Alabama,Regular,0,0,68,27,29,0,0,enrolled,36
100192,Marcia,Oliveira_213,F,,Marcia.Oliveira_213@example.com,1,1,0,1,1,3.46,1,Indiana,Regular,0,0,86,28,29,0,0,enrolled,36
100196,Mateo,Jackson_157,M,,Mateo.Jackson_157@example.com,1,1,1,3,1,3.2,1,Puerto Rico,Regular,0,0,80,29,29,0,0,enrolled,36
100197,Martha,Rivera_131,F,,Martha.Rivera_131@example.com,1,1,0,5,0,3.05,1,Puerto Rico,Regular,0,0,76,27,29,0,0,enrolled,36
100202,Diego,Ramirez_132,M,,Diego.Ramirez_132@example.com,0,0,0,1,1,3.33,0,Montana,Regular,1,1,83,25,29,0,0,declined,0
100207,Shirley,Rodriguez_158,F,,Shirley.Rodriguez_158@example.com,1,0,0,8,0,2.74,1,Massachusetts,Regular,0,0,68,26,29,0,0,admitted,0
100210,Richard,Roe_054,M,,Richard.Roe_054@example.com,1,1,0,4,0,3.62,1,New Hampshire,Regular,0,0,90,26,29,0,0,enrolled,36
100217,John,Stiles_335,M,,John.Stiles_335@example.com,1,0,0,0,1,3.36,0,Michigan,Regular,0,0,83,26,29,0,0,admitted,0
100224,Ana,Silva_271,F,,Ana.Silva_271@example.com,1,1,0,7,0,2.6,1,Pennsylvania,Regular,0,0,65,25,29,0,0,enrolled,36
100225,Carlos,Salazar_252,M,,Carlos.Salazar_252@example.com,1,1,0,2,1,3.02,1,Maine,Regular,0,0,75,28,29,0,0,enrolled,36
100232,Jane,Doe_109,F,,Jane.Doe_109@example.com,1,1,0,1,1,3.33,1,Utah,Regular,0,0,83,25,29,0,0,enrolled,36
100241,Mary,Major_077,F,,Mary.Major_077@example.com,1,1,0,1,1,2.24,1,Kentucky,Regular,0,0,55,27,29,0,0,enrolled,36
100245,Mary,Major_302,F,,Mary.Major_302@example.com,1,1,0,5,0,3.48,1,Vermont,Regular,0,0,86,25,29,0,0,enrolled,36
100247,Mateo,Jackson_196,M,,Mateo.Jackson_196@example.com,1,0,0,3,1,2.47,1,Delaware,Regular,0,0,61,27,29,0,0,admitted,0
100253,John,Stiles_390,M,,John.Stiles_390@example.com,1,1,0,8,0,3.06,0,Montana,Regular,0,0,76,27,29,0,0,enrolled,36
100254,Richard,Roe_127,M,,Richard.Roe_127@example.com,1,1,1,5,0,3.21,1,Colorado,Regular,0,0,80,26,29,0,0,enrolled,36
100262,Marcia,Oliveira_367,F,,Marcia.Oliveira_367@example.com,1,1,0,7,0,2.85,0,South Dakota,Regular,0,0,71,27,29,0,0,enrolled,36
100263,Paulo,Santos_253,M,,Paulo.Santos_253@example.com,1,1,0,3,1,2.74,1,Delaware,Regular,0,0,68,29,29,0,0,enrolled,36
100267,Ana,Silva_118,F,,Ana.Silva_118@example.com,1,1,1,8,0,3.71,1,Missouri,Regular,0,0,92,29,29,0,0,enrolled,36
100287,Mary,Major_163,F,,Mary.Major_163@example.com,0,0,0,5,0,2.72,0,Louisiana,Regular,1,1,67,26,29,0,0,declined,0
100288,Ana,Silva_201,F,,Ana.Silva_201@example.com,0,0,0,8,0,2.66,0,West Virginia,Regular,0,1,66,29,29,0,0,declined,0
100290,Jane,Doe_345,F,,Jane.Doe_345@example.com,1,1,0,1,1,3.42,0,Oregon,Regular,0,0,85,29,29,0,0,enrolled,36
100296,John,Stiles_340,M,,John.Stiles_340@example.com,0,0,0,6,0,3.15,0,Florida,Regular,0,1,78,27,29,0,0,declined,0
100299,Mateo,Jackson_256,M,,Mateo.Jackson_256@example.com,1,1,0,5,0,3.15,0,South Carolina,Regular,0,0,78,28,29,0,0,enrolled,36
100303,Shirley,Rodriguez_208,F,,Shirley.Rodriguez_208@example.com,1,1,0,1,1,2.99,1,Missouri,Regular,0,0,74,25,29,0,0,enrolled,36
100318,Carlos,Salazar_218,M,,Carlos.Salazar_218@example.com,0,0,0,2,1,2.79,0,Washington,Regular,0,1,69,29,29,0,0,declined,0
100323,Mateo,Jackson_032,M,,Mateo.Jackson_032@example.com,1,1,0,8,0,3.59,1,New Jersey,Regular,0,0,89,27,29,0,0,enrolled,36
100325,Marcia,Oliveira_316,F,,Marcia.Oliveira_316@example.com,1,1,0,3,1,3.41,0,Texas,Regular,0,0,85,29,29,0,0,enrolled,36
100352,Jorge,Souza_207,M,,Jorge.Souza_207@example.com,1,1,1,1,1,3.48,1,Wyoming,Regular,0,0,87,25,29,0,0,enrolled,36
100370,Paulo,Santos_159,M,,Paulo.Santos_159@example.com,0,0,0,3,1,3.25,0,Missouri,Regular,1,1,81,25,29,0,0,declined,0
100373,Paulo,Santos_102,M,,Paulo.Santos_102@example.com,1,1,0,5,0,3.58,1,Hawaii,Regular,0,0,89,25,29,0,0,enrolled,36
100379,Richard,Roe_113,M,,Richard.Roe_113@example.com,1,1,0,7,0,3.11,1,New Jersey,Regular,0,0,77,28,29,0,0,enrolled,36
100392,Nikki,Wolf_439,F,,Nikki.Wolf_439@example.com,1,1,0,8,0,3.53,1,Vermont,Regular,0,0,88,25,29,0,0,enrolled,36
100399,Jorge,Souza_300,M,,Jorge.Souza_300@example.com,1,1,1,1,1,2.98,1,Maine,Regular,0,0,74,29,29,0,0,enrolled,36
100402,Paulo,Santos_393,M,,Paulo.Santos_393@example.com,1,1,0,0,1,3.15,0,Nevada,Regular,0,0,78,27,29,0,0,enrolled,36
100406,Marcia,Oliveira_314,F,,Marcia.Oliveira_314@example.com,1,0,0,8,0,3.43,1,Virginia,Regular,0,0,85,25,29,0,0,admitted,0
100434,John,Doe_319,M,,John.Doe_319@example.com,1,1,1,0,1,3.08,1,Virginia,Regular,0,0,77,29,29,0,0,enrolled,36
100436,Martha,Rivera_189,F,,Martha.Rivera_189@example.com,1,1,0,0,1,2.5,0,Oregon,Regular,0,0,62,28,29,0,0,enrolled,36
100449,Paulo,Santos_295,M,,Paulo.Santos_295@example.com,1,1,0,4,0,3.07,1,California,Regular,0,0,76,29,29,0,0,enrolled,36
100460,Mary,Major_249,F,,Mary.Major_249@example.com,0,0,0,5,0,3.11,0,Montana,Regular,0,1,77,26,29,0,0,declined,0
100467,Nikki,Wolf_328,F,,Nikki.Wolf_328@example.com,1,0,0,7,0,3.19,1,Tennessee,Regular,0,0,79,26,29,0,0,admitted,0
100478,Jorge,Souza_437,M,,Jorge.Souza_437@example.com,1,1,0,0,1,3,1,Iowa,Regular,0,0,75,27,29,0,0,enrolled,36
100488,Carlos,Salazar_299,M,,Carlos.Salazar_299@example.com,1,1,1,1,1,3.25,1,Puerto Rico,Regular,0,0,81,29,29,0,0,enrolled,36
100490,Richard,Roe_293,M,,Richard.Roe_293@example.com,1,1,1,6,0,3.49,1,North Dakota,Regular,0,0,87,26,29,0,0,enrolled,36
100492,Alejandro,Rosalez_099,M,,Alejandro.Rosalez_099@example.com,1,0,0,7,0,3.38,1,Alaska,Regular,0,0,84,29,29,0,0,admitted,0
100502,Ana,Silva_037,F,,Ana.Silva_037@example.com,1,1,0,5,0,3.54,1,Michigan,Regular,0,0,88,29,29,0,0,enrolled,36
100505,John,Doe_154,M,,John.Doe_154@example.com,0,0,0,7,0,3.1,0,California,Regular,0,1,77,26,29,0,0,declined,0
100519,Marcia,Oliveira_220,F,,Marcia.Oliveira_220@example.com,0,0,0,3,1,3.36,0,North Dakota,Regular,0,1,84,25,29,0,0,declined,0
100522,Mateo,Jackson_194,M,,Mateo.Jackson_194@example.com,1,1,1,3,1,3.9,1,Georgia,Early Decision,0,0,97,28,29,0,0,enrolled,36
100527,John,Stiles_075,M,,John.Stiles_075@example.com,1,0,0,1,1,3.08,1,Virginia,Regular,0,0,77,25,29,0,0,admitted,0
100540,Marcia,Oliveira_160,F,,Marcia.Oliveira_160@example.com,1,1,1,8,0,3.43,1,Michigan,Regular,0,0,85,25,29,0,0,enrolled,36
100552,Richard,Roe_406,M,,Richard.Roe_406@example.com,1,1,0,8,0,3.71,1,Minnesota,Regular,0,0,92,26,29,0,0,enrolled,36
100555,Mary,Major_093,F,,Mary.Major_093@example.com,1,1,0,0,1,2.45,1,Nebraska,Regular,0,0,61,25,29,0,0,enrolled,36
100560,Ana,Silva_002,F,,Ana.Silva_002@example.com,0,0,0,3,1,3.15,0,Puerto Rico,Regular,0,1,78,27,29,0,0,declined,0
100571,Nikki,Wolf_412,F,,Nikki.Wolf_412@example.com,0,0,0,2,1,3.57,0,Oklahoma,Regular,0,1,89,28,29,0,0,declined,0
100576,Alejandro,Rosalez_310,M,,Alejandro.Rosalez_310@example.com,1,1,0,4,0,3.19,1,Illinois,Regular,0,0,79,26,29,0,0,enrolled,36
100596,Mary,Major_259,F,,Mary.Major_259@example.com,1,1,0,5,0,3.22,0,Nevada,Regular,0,0,80,25,29,0,0,enrolled,36
100599,Diego,Ramirez_319,M,,Diego.Ramirez_319@example.com,1,1,1,1,1,2.98,1,Maine,Regular,0,0,74,27,29,0,0,enrolled,36
100619,Paulo,Santos_315,M,,Paulo.Santos_315@example.com,1,1,0,7,0,3.32,1,Colorado,Regular,0,0,83,25,29,0,0,enrolled,36
100622,Alejandro,Rosalez_321,M,,Alejandro.Rosalez_321@example.com,0,0,0,2,1,3.73,0,Alabama,Regular,0,1,93,28,29,0,0,declined,0
100627,John,Doe_437,M,,John.Doe_437@example.com,1,1,0,1,1,3.38,1,Louisiana,Regular,0,0,84,29,29,0,0,enrolled,36
100630,Martha,Rivera_163,F,,Martha.Rivera_163@example.com,0,0,0,5,0,2.88,0,Alaska,Regular,0,1,72,28,29,0,0,declined,0
100632,Nikki,Wolf_214,F,,Nikki.Wolf_214@example.com,1,0,0,5,0,3.26,0,Tennessee,Regular,0,0,81,27,29,0,0,admitted,0
100642,Paulo,Santos_103,M,,Paulo.Santos_103@example.com,1,1,0,0,1,2.86,1,Alaska,Regular,0,0,71,25,29,0,0,enrolled,36
100646,John,Stiles_418,M,,John.Stiles_418@example.com,1,1,0,4,0,2.98,1,Arizona,Regular,0,0,74,26,29,0,0,enrolled,36
100662,Martha,Rivera_005,F,,Martha.Rivera_005@example.com,1,1,0,1,1,3.16,1,North Dakota,Regular,0,0,78,29,29,0,0,enrolled,36
100684,Martha,Rivera_197,F,,Martha.Rivera_197@example.com,1,1,0,0,1,2.83,1,Michigan,Regular,0,0,70,29,29,0,0,enrolled,36
100689,Shirley,Rodriguez_075,F,,Shirley.Rodriguez_075@example.com,1,1,0,7,0,3.65,1,Louisiana,Regular,0,0,91,29,29,0,0,enrolled,36
100694,Marcia,Oliveira_300,F,,Marcia.Oliveira_300@example.com,0,0,0,3,1,2.97,0,New York,Regular,1,1,74,27,29,0,0,declined,0
100698,Alejandro,Rosalez_048,M,,Alejandro.Rosalez_048@example.com,1,1,0,3,1,2.82,0,Virginia,Regular,0,0,70,28,29,0,0,enrolled,36
